City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,olive branch,34.9618,-89.8295,60.85,53,0,3.44,US,1683081781
1,punta arenas,-53.15,-70.9167,48.31,76,75,23.02,CL,1683081674
2,arraial do cabo,-22.9661,-42.0278,71.46,88,0,0.0,BR,1683081564
3,atuona,-9.8,-139.0333,81.52,78,13,17.87,PF,1683081782
4,barrow,71.2906,-156.7887,21.22,86,100,18.41,US,1683081620
5,henties bay,-22.116,14.2845,61.09,77,57,3.8,NA,1683081782
6,port macquarie,-31.4333,152.9167,76.89,38,0,6.17,AU,1683081783
7,hami,42.8,93.45,52.92,41,98,16.62,CN,1683081783
8,port augusta,-32.5,137.7667,68.25,53,79,10.71,AU,1683081784
9,canguaretama,-6.38,-35.1289,75.4,88,64,6.38,BR,1683081784
10,saint george,37.1041,-113.5841,75.79,19,0,12.66,US,1683081724
11,pokrovsk,48.282,37.1758,44.01,71,16,2.1,UA,1683081784
12,new norfolk,-42.7826,147.0587,49.91,79,100,2.46,AU,1683081784
13,bluff,-46.6,168.3333,62.22,74,72,7.81,NZ,1683081784
14,brae,60.3964,-1.353,41.97,74,94,7.31,GB,1683081785
15,bengkulu,-3.8004,102.2655,85.35,65,46,2.15,ID,1683081785
16,rikitea,-23.1203,-134.9692,78.8,80,27,17.38,PF,1683081787
17,albany,42.6001,-73.9662,48.61,80,100,4.54,US,1683081785
18,hamilton,39.1834,-84.5333,51.26,79,100,16.11,US,1683081683
19,hithadhoo,-0.6,73.0833,82.63,77,100,23.51,MV,1683081787
20,tezu,27.9167,96.1667,75.45,70,79,3.42,IN,1683081787
21,burns lake,54.2331,-125.7533,71.02,51,3,4.59,CA,1683081788
22,puerto ayora,-0.7393,-90.3518,80.55,91,0,1.01,EC,1683081788
23,qasigiannguit,68.8193,-51.1922,35.85,76,100,7.05,GL,1683081788
24,guerrero negro,27.9769,-114.0611,58.23,72,0,18.63,MX,1683081788
25,khani,41.9563,42.9566,36.97,78,77,2.39,GE,1683081789
26,mahebourg,-20.4081,57.7,74.25,94,75,2.3,MU,1683081789
27,vanimo,-2.6741,141.3028,84.45,71,99,6.49,PG,1683081789
28,husavik,66.0449,-17.3389,34.68,76,30,4.36,IS,1683081789
29,sambava,-14.2667,50.1667,70.18,82,2,7.47,MG,1683081790
30,hobart,-42.8794,147.3294,50.25,93,100,5.19,AU,1683081680
31,hermanus,-34.4187,19.2345,57.79,83,0,4.16,ZA,1683081790
32,kununurra,-15.7667,128.7333,84.18,30,10,13.8,AU,1683081790
33,hofn,64.2539,-15.2082,35.85,77,100,4.43,IS,1683081790
34,dhidhdhoo,6.8833,73.1,85.01,70,100,14.03,MV,1683081790
35,jamestown,42.097,-79.2353,36.52,95,100,10.36,US,1683081769
36,busselton,-33.65,115.3333,66.96,47,0,4.47,AU,1683081791
37,kargil,34.5667,76.1,34.77,67,98,2.93,IN,1683081791
38,xichang,27.8964,102.2634,75.61,36,1,9.4,CN,1683081791
39,victoria,22.2855,114.1577,83.97,85,98,11.01,HK,1683081791
40,kedougou,12.5579,-12.1743,84.4,52,98,6.02,SN,1683081792
41,nhulunbuy,-12.2333,136.7667,86.61,62,100,21.85,AU,1683081792
42,hilo,19.7297,-155.09,80.28,79,100,11.5,US,1683081607
43,ponta do sol,32.6667,-17.1,71.71,77,99,10.8,PT,1683081792
44,sergeyevka,53.88,67.4158,52.75,28,14,8.23,KZ,1683081792
45,kavieng,-2.5744,150.7967,85.44,70,63,5.91,PG,1683081793
46,pizarro,4.9533,-77.366,80.83,86,56,6.62,CO,1683081793
47,ushuaia,-54.8,-68.3,47.86,66,20,5.75,AR,1683081740
48,buala,-8.145,159.5921,86.29,69,100,8.14,SB,1683081794
49,vaini,-21.2,-175.2,78.96,65,75,18.41,TO,1683081794
50,dikson,73.5069,80.5464,31.86,97,100,31.61,RU,1683081794
51,seoul,37.5683,126.9778,74.77,32,0,8.05,KR,1683081751
52,kelheim,48.9167,11.8667,45.64,88,10,4.79,DE,1683081794
53,carnarvon,-24.8667,113.6333,83.8,33,84,7.92,AU,1683081795
54,faanui,-16.4833,-151.75,81.52,79,51,10.11,PF,1683081795
55,nabire,-3.3667,135.4833,89.04,60,16,4.45,ID,1683081587
56,pangnirtung,66.1451,-65.7125,34.0,96,100,10.71,CA,1683081796
57,richards bay,-28.783,32.0377,71.11,90,100,6.91,ZA,1683081796
58,tiksi,71.6872,128.8694,19.63,82,100,14.38,RU,1683081796
59,chapais,49.7834,-74.8492,42.58,92,100,9.35,CA,1683081796
60,clyde river,70.4692,-68.5914,19.63,93,100,3.44,CA,1683081796
61,kaitangata,-46.2817,169.8464,72.93,50,69,6.6,NZ,1683081797
62,machachi,-0.5,-78.5667,51.3,92,100,6.02,EC,1683081797
63,kapaa,22.0752,-159.319,79.12,82,40,10.36,US,1683081797
64,okato,-39.2,173.8833,65.91,100,100,11.68,NZ,1683081798
65,asau,46.4333,26.4,40.28,77,39,4.07,RO,1683081798
66,moron,-34.6534,-58.6198,57.96,72,0,4.16,AR,1683081643
67,ribeira grande,38.5167,-28.7,59.77,86,43,15.99,PT,1683081798
68,salym,60.0625,71.4789,47.5,50,99,9.28,RU,1683081799
69,saint-philippe,-21.3585,55.7679,72.99,84,61,8.9,RE,1683081799
70,provideniya,64.3833,-173.3,30.36,63,75,8.99,RU,1683081799
71,ancud,-41.8697,-73.8203,43.95,85,56,4.61,CL,1683081799
72,lavrentiya,65.5833,-171.0,23.31,76,48,8.32,RU,1683081800
73,port elizabeth,-33.918,25.5701,62.89,97,100,5.75,ZA,1683081800
74,yellowknife,62.456,-114.3525,55.92,47,75,6.91,CA,1683081595
75,qaanaaq,77.484,-69.3632,18.9,81,97,7.34,GL,1683081800
76,ahipara,-35.1667,173.1667,67.69,92,100,13.98,NZ,1683081800
77,kahului,20.8947,-156.47,82.42,68,40,14.97,US,1683081703
78,kyabe,9.4515,18.9449,82.26,49,100,4.61,TD,1683081801
79,najran,17.4924,44.1277,74.05,64,16,3.29,SA,1683081801
80,bende,5.5572,7.6368,73.13,97,85,3.33,NG,1683081801
81,iqaluit,63.7506,-68.5145,33.53,93,100,20.71,CA,1683081550
82,comodoro rivadavia,-45.8667,-67.5,53.46,40,0,16.11,AR,1683081802
83,mataura,-46.1927,168.8643,70.5,53,21,5.19,NZ,1683081802
84,antofagasta,-23.65,-70.4,60.08,77,94,7.56,CL,1683081636
85,conceicao da barra,-18.5933,-39.7322,71.8,91,26,2.1,BR,1683081659
86,kruisfontein,-34.0033,24.7314,58.6,86,40,4.92,ZA,1683081802
87,owando,-0.4819,15.8999,70.7,98,100,1.79,CG,1683081803
88,airai,-8.9266,125.4092,72.21,57,83,4.7,TL,1683081803
89,georgetown,5.4112,100.3354,85.93,84,20,3.44,MY,1683081803
90,torbay,47.6666,-52.7314,35.28,92,100,11.5,CA,1683081803
91,egvekinot,66.3167,-179.1667,17.62,75,97,9.28,RU,1683081804
92,shumskiy,54.8318,99.1328,36.59,73,100,5.91,RU,1683081804
93,yarada,17.65,83.2667,82.72,89,75,2.3,IN,1683081804
94,talnakh,69.4865,88.3972,29.21,94,100,14.58,RU,1683081804
95,alofi,-19.0595,-169.9187,76.89,83,75,18.41,NU,1683081804
96,maridi,4.9158,29.4742,68.95,88,95,3.71,SS,1683081804
97,vilhena,-12.7406,-60.1458,68.83,95,36,1.3,BR,1683081805
98,nchelenge,-9.3451,28.734,60.6,78,8,7.92,ZM,1683081805
99,mar del plata,-38.0023,-57.5575,51.94,76,0,4.61,AR,1683081805
100,lebu,-37.6167,-73.65,50.56,86,1,17.65,CL,1683081752
101,east london,-33.0153,27.9116,62.96,77,0,6.53,ZA,1683081806
102,katsuura,35.1333,140.3,67.28,55,21,13.33,JP,1683081806
103,road town,18.4167,-64.6167,80.69,78,40,6.91,VG,1683081806
104,castro,-24.7911,-50.0119,57.49,85,86,2.33,BR,1683081807
105,alim,9.5649,122.4876,83.35,75,100,3.56,PH,1683081807
106,maceio,-9.6658,-35.7353,76.44,94,40,3.44,BR,1683081807
107,constitucion,-35.3333,-72.4167,51.62,66,0,5.7,CL,1683081807
108,cape town,-33.9258,18.4232,59.92,78,0,6.91,ZA,1683081807
109,jawhar,2.7809,45.5005,78.69,81,100,9.55,SO,1683081808
110,huarmey,-10.0681,-78.1522,74.14,84,44,9.42,PE,1683081808
111,avarua,-21.2078,-159.775,75.25,78,75,12.66,CK,1683081808
112,port hardy,50.6996,-127.4199,60.98,51,0,11.5,CA,1683081735
113,balykshi,47.0667,51.8667,69.8,43,40,11.18,KZ,1683081809
114,toamasina,-18.1667,49.3833,73.4,94,75,4.61,MG,1683081809
115,phangnga,8.4509,98.5298,87.84,56,65,2.01,TH,1683081809
116,fort collins,40.5853,-105.0844,64.56,43,40,9.22,US,1683081625
117,emerald,-23.5333,148.1667,78.35,29,10,8.34,AU,1683081810
118,acapulco,16.8634,-99.8901,84.02,70,20,6.91,MX,1683081543
